날짜,제목,글쓴이,조회,공감,비공감
2022.05.31 10:35,"한솔은 감열지 세계 최고생산 회사..
				[1]",bara****,302,0,4
2022.05.31 10:03,"ㅋㅋㅋㅋㅋㅋㅋ감열지 15%올린다는데도
				[3]",sawe****,428,0,5
2022.05.31 09:54,"[단독]한솔제지, 감열지 가격 잇단 인상...",nee1****,298,1,1
2022.05.30 12:03,한솔제지 2분기도 좋습니다.,sjon****,387,2,6
2022.05.30 09:44,"sawe 닉쓰는 선동분자
				[1]",sain****,245,3,1
2022.05.30 11:54,"선동분자??ㅋㅋ 너네가 이니라?
				[1]",sawe****,204,1,2
2022.05.30 12:15,내가 물렸는지 수익중인지,sain****,131,0,2
2022.05.30 13:49,"수익중이시구나 ㅜㅜ대단한 고수를 몰라뵙고...
				[2]",sawe****,151,0,4
2022.05.29 16:57,"나노셀룰로스, 프로테고, 테라바스, 카카...",bara****,314,1,5
2022.05.30 09:37,"한솔제지에서 효자를 찾아?ㅋㅋㅋ
				[1]",sawe****,156,3,3
2022.05.27 14:36,"어휴 선동질 졸라하네
				[1]",apen****,446,3,4
2022.05.27 09:29,"야 나는 글 안지운다 ㅋㅋㅋ
				[3]",sawe****,340,2,3
2022.05.27 08:58,"찌라시에 걸리면 ~지옥구경한다
				[2]",ho04****,318,2,4
2022.05.27 08:40,오늘자 흥국 증권레포트 떴는데,yoma****,295,1,2
2022.05.26 23:38,종이값 오른다던데,int_****,211,0,1
2022.05.26 23:27,세상에,sscw****,136,0,4
2022.05.26 18:02,실적도 좋고 배당금도 많이 주고 폭등할때...,kdc1****,245,3,4
2022.05.25 19:25,●한솔제지 펄프값 상승 분석 방금 올라왔...,meta****,299,2,2
2022.05.25 16:27,"한솔 팁준다
				[3]",rare****,490,4,4
2022.05.25 15:50,"캬 매동 예술이누 ㅋㅋㅋㅋㅋㅋㅋㅋ
				[1]",sawe****,264,3,4
2022.05.25 15:14,"기관이 양아치
				[2]",whit****,283,4,0
2022.05.25 13:05,"오늘 매동
				[5]",sawe****,430,4,4
2022.05.25 12:43,"기다려
				[1]",dypa****,262,2,4
2022.05.25 12:29,짧게 짧게 먹고 떨어지라는 이야기여.,ktsk****,157,1,2
2022.05.25 09:27,"한솔은 못가
				[2]",rare****,450,6,0
2022.05.25 09:26,"제지업계
				[2]",bong****,343,1,1
2022.05.25 09:03,"ㅇㅇ?
				[2]",kamb****,298,1,2
2022.05.25 05:39,메뚜기들   곡물이랑 에너지 골고루 돌다...,ktsk****,225,1,1
2022.05.24 18:10,국제펄프가격 폭등,kim1****,310,3,2
2022.05.24 18:02,내일 제지주 싹다 날아간다,kim1****,244,1,2
2022.05.24 17:53,ㅋㅋㅋㅋ제지 다 상한가,sawe****,213,3,0
2022.05.24 17:32,"속보 제지주 올상한가
				[1]",mkln****,383,1,2
2022.05.24 14:30,함 줘~ 시원하게~,bubh****,157,0,3
2022.05.24 09:20,"한솔제지, 판가 상승에 따른 수익성 개선...",skys****,243,1,2
2022.05.24 09:13,"얼마전에 15000원 일때
				[3]",sawe****,310,4,1
2022.05.23 14:19,"ㅋㅋㅋㅋㅋ 투신도 긴급탈출중
				[2]",sawe****,361,3,2
2022.05.21 17:21,"스타벅스만가도
				[1]",qusd****,640,4,0
2022.05.20 18:32,산업통상자원부,unlo****,391,4,0
2022.05.20 10:29,"거래량 실화냐
				[1]",apen****,419,0,1
2022.05.18 10:01,껌,cali****,240,1,0
2022.05.17 10:52,"마지막 펙트 적고 떠난다. 여기 사람이 ...
				[5]",sawe****,790,5,12
2022.05.14 14:41,한솔제지 분석,jhpa****,561,0,5
2022.05.13 20:23,"22년도 배당금 언제나오나요?
				[2]",jong****,577,0,7
2022.05.14 11:34,"22년도 배당금 언제나오나요?
				[1]",khs7****,223,0,3
2022.05.12 13:12,"이런 거지같은 장에
				[1]",ahyo****,434,2,4
2022.05.12 11:10,"12000원대 오겠네
				[3]",apen****,387,7,4
2022.05.11 14:07,여기는 슈팅한번 안나오나?,rlag****,208,1,2
2022.05.11 13:12,실적탄탄하고 배당잘주고,mili****,229,2,2
2022.05.11 12:55,영풍제지가 시총 3400억 ㅋㅋㅋ,sawe****,306,3,0
2022.05.12 18:32,영풍제지가 시총 3400억 ㅋㅋㅋ,bbac****,77,0,0
2022.05.11 11:33,120선도 못뚫고,apen****,168,2,2
2022.05.10 14:52,부국창구 연기금,pchy****,196,0,3
2022.05.09 14:19,"밑에 펄프글이 얼마나 무식하냐면
				[1]",sawe****,523,6,2
2022.05.09 10:17,"펄프
				[2]",cafe****,381,1,8
2022.05.06 15:45,오늘 저가에 입성,read****,268,0,2
2022.05.04 15:40,인제 제지자례야,opti****,330,2,4
2022.05.03 14:07,"한솔제지 4행시(ver.2탄)
				[3]",mili****,540,8,5
2022.05.03 08:25,배당금?,ghkd****,244,0,3
2022.05.01 09:37,낼 ㅡ페이퍼코리아 무림페이퍼 둘 다 상 ...,jdre****,410,0,3
2022.04.30 13:10,나스닥 제지주만 날았다,jdre****,315,1,2
2022.04.29 09:50,"한솔제지 4행시
				[1]",mili****,376,4,7
2022.04.29 07:19,"배당금
				[3]",gha1****,570,0,3
2022.04.28 11:36,"제지는 6월급등나옴
				[1]",karm****,546,3,5
2022.04.27 23:48,잡주가 실적으로 가는거 ?냐?,char****,242,2,3
2022.04.27 22:54,"주식중에 분기영익 250억인데 시총3천억...
				[3]",bara****,319,0,4
2022.04.27 17:17,"실적으로 주가 쳐박노
				[3]",stor****,456,2,0
2022.04.27 16:50,"실적 잘 나왔네
				[3]",rare****,405,1,2
2022.04.27 16:33,"매출이 어떻게 컨센대비 20%나 늘죠 ?
				[4]",zeus****,541,2,2
2022.04.27 15:58,"실적 컨센부합
				[2]",kkul****,281,1,2
2022.04.26 14:21,"영업이익 1천억 시총 3천억
				[1]",stor****,794,2,7
2022.04.26 10:46,"갈때 같이 가야
				[2]",whit****,569,3,0
2022.04.26 09:38,나노셀룰로스 프로테고 테라바스 카카오판지,bara****,248,0,3
2022.04.25 16:11,"드디어 시총 역전
				[1]",whit****,554,8,0
2022.04.23 21:46,"담주에 음봉 나오면 한번 봐야쓰것네
				[2]",char****,554,2,6
2022.04.23 17:16,"한솔제지·무림페이퍼 인쇄용지-유한킴벌리 ...
				[1]",jimy****,533,2,4
2022.04.22 22:08,돈을 버나 안버나,leej****,307,0,2
2022.04.22 19:59,배당금 냠냠,apen****,236,1,2
2022.04.22 19:17,배당금 키움증권 안들어왔나요?,boog****,194,0,2
2022.04.22 18:38,"지방선거...
				[4]",lks7****,448,0,6
2022.04.22 17:59,오늘 매동 아주 좋네요,nels****,185,0,2
2022.04.22 17:39,오늘 매동보니 기법12만주 매수있는데,cdp3****,204,0,2
2022.04.22 17:24,"키움 배당들어왓나요?
				[1]",kill****,303,0,2
2022.04.22 15:47,"상승이유
				[2]",rare****,481,0,5
2022.04.22 14:54,"작년부터16000원부터 진입해서
				[2]",kall****,453,0,2
2022.04.22 14:27,"왜 오르지?
				[2]",stor****,494,0,2
2022.04.22 14:00,"(꺼어어억) 배당 261.7만원 감사
				[1]",bara****,424,1,5
2022.04.22 13:55,"한솔제지, 인쇄용지 가격 인상 소식에 상...",zoii****,275,0,4
2022.04.22 13:05,"추가로 좀 살려고  배당금 기다렸더만ㆍㆍ
				[2]",lk63****,419,0,2
2022.04.22 12:24,"날짜 잘못 봤는줄
				[1]",apen****,372,0,3
2022.04.22 11:13,"배당입금날임
				[1]",rare****,413,0,2
2022.04.22 09:49,"배당금 언제주냐 개빡치게하네
				[1]",hys9****,340,0,2
2022.04.22 09:47,"작년 11월에 매수했으면 연말배당 못받음...
				[1]",desi****,327,0,2
2022.04.21 23:10,한솔제지·무림페이퍼 인쇄용지-유한킴벌리 ...,asd-****,277,1,2
2022.04.21 14:59,똥주 벗어날려면,lamb****,159,2,0
2022.04.21 13:44,한솔이 쥬지 딱등기원,dltn****,151,0,2
2022.04.21 10:28,"[글로벌반도체공급망재편에따른 대한민국산업...
				[1]",dcba****,225,0,2
2022.04.21 08:13,뉴스에서 한솔제지,apen****,362,0,3
2022.04.21 00:36,"크 달달하다
				[1]",dlfh****,355,0,5
2022.04.20 17:45,너도 영풍제지 인수해라 얼른!!!,revo****,254,2,3
2022.04.20 17:21,한솔제지에게,samp****,189,2,0
2022.04.20 16:44,"배당
				[1]",3235****,394,2,0
2022.04.20 16:37,"무림 vs. 한솔
				[1]",whit****,312,0,2
2022.04.20 14:46,한솔제지 상승…국제 펄프 가격 상승에 따...,zoii****,346,0,2
2022.04.19 13:04,"[매번국민들이들구일어혁명해야 민주주의지켜...
				[1]",dcba****,217,0,4
2022.04.19 11:19,"캐시플로~가 마이 나쁜가?
				[1]",lmpr****,303,1,5
2022.04.19 09:25,코로나 거리두기 폐지,kubo****,232,1,4
2022.04.15 15:45,"이거 언제 팔아야 할까요?
				[4]",iamj****,1302,0,8
2022.04.15 12:09,"운임 언제떨어질까요
				[2]",dltn****,271,0,3
2022.04.15 10:35,종토방에 ㅋㅋㅋ,sawe****,303,6,1
2022.04.15 10:08,"입성
				[1]",qiqo****,517,1,7
2022.04.14 20:26,"오를꺼란건 믿는데
				[1]",apen****,459,4,1
2022.04.14 17:31,"무조건 오른다
				[2]",dypa****,467,2,4
2022.04.14 14:11,배당금 빨리 내놔,dlfh****,356,8,1
2022.04.14 13:38,"또또 고개 쳐 드네
				[3]",rare****,545,4,9
2022.04.14 12:35,매집중,shin****,362,2,5
2022.04.14 12:04,"14,300",cml1****,311,9,4
2022.04.14 10:50,"신고합니다
				[3]",wjrm****,504,5,4
2022.04.13 14:05,아직 얼마 못삿는데,seay****,266,2,5
2022.04.13 13:50,주주 형님들 안녕하세요 새로 입성했습니다,kang****,229,2,6
2022.04.12 10:54,기냥 잡주,apen****,182,0,3
2022.04.11 23:58,"배당
				[1]",newr****,746,0,3
2022.04.11 09:44,"한솔제지 양호!!
				[1]",sjon****,469,2,4
2022.04.08 11:38,"배당금좀 줘라
				[1]",dlfh****,595,0,4
2022.04.07 19:09,"배당이
				[1]",newr****,638,0,2
2022.04.06 23:27,"배당
				[1]",newr****,549,0,2
2022.04.06 11:11,조용하네,ilzi****,235,0,3
2022.04.05 11:14,좋다잉,aron****,349,0,6
2022.04.05 10:07,"식목일이라고 찔금 물주네,,",quar****,272,3,3
2022.04.04 20:53,"배당
				[1]",3235****,701,0,1
2022.04.04 11:43,솔아손아,s333****,258,0,4
2022.04.03 08:21,"곧 지방선거다
				[3]",lks7****,503,0,6
2022.03.29 18:28,"차트가 좋습니다
				[1]",jimi****,557,4,5
2022.03.29 16:01,"***경축** 한솔제지
				[2]",mjs3****,624,2,6
2022.03.28 10:07,"13700원에 좀만 정리하자..
				[5]",lier****,754,1,4
2022.03.28 19:03,13700원에 좀만 정리하자..,dypa****,201,0,4
2022.03.27 08:06,거래량이 없는종목임?,peac****,449,2,2
2022.03.26 11:33,14층 얼른 와주라,dowo****,316,0,5
2022.03.25 19:14,그래 이제 -3.5프로다,dlfh****,274,1,3
2022.03.25 18:09,ㄱ,love****,191,3,1
2022.03.25 17:30,"이 종목은 22,000이상 보고 가는 종...
				[1]",demi****,456,2,2
2022.03.24 19:53,그래 이제 -5프로다,dlfh****,272,3,3
2022.03.22 16:04,사랑해요 외쿡 아저씨,kang****,385,2,4
2022.03.21 15:04,이런 거지같은 장에,ahyo****,387,4,3
2022.03.21 14:06,"제발 올리지 마세요.
				[1]",sams****,539,4,5
2022.03.21 13:52,"어느분이
				[1]",adam****,366,5,1
2022.03.21 13:39,"1분기 실적 나오면  대폭락
				[2]",5841****,833,8,4
2022.03.21 13:19,마 니 보험 돈 많나,rare****,262,2,0
2022.03.21 10:16,"탈출하고 간다
				[1]",joy2****,431,5,2
2022.03.18 15:22,"참 더러운주식이네
				[1]",joy2****,736,11,2
2022.03.18 11:49,"좋은회사
				[1]",geo1****,643,12,0
2022.03.15 11:05,ㅋㅋ 오랜만에 와보는데 여전하구나,huan****,439,8,0
2022.03.14 09:21,배당만 꼬박꼬박 잘줘라,dlfh****,356,5,2
2022.03.13 07:42,한솔제지주주여 누가 저평가인가?,dlek****,627,3,4
2022.03.08 19:57,"망한듯
				[2]",gane****,953,7,2
2022.03.07 11:48,"목재펄프 가격 급등
				[1]",nall****,837,6,2
2022.03.07 11:17,손절 답이네요,youn****,314,4,1
2022.03.03 10:23,좋은,qkrc****,341,4,3
2022.02.23 18:26,14000원은 와야 본절하는데,rkdg****,324,4,3
2022.02.22 10:32,"완전 저평가 우량주네
				[1]",stor****,1057,3,5
2022.02.22 09:40,전쟁나도 똥은 싸야해~~~,iamj****,301,2,2
2022.02.19 16:01,16700,rkdv****,478,0,4
2022.02.15 13:59,조루시키...,dlfh****,546,4,1
2022.02.15 13:36,하 10퍼에 자동걸어놨는데 1퍼모자랐네,godd****,290,0,2
2022.02.15 13:00,원래 유럽 대장 한솔인디,xldh****,392,1,3
2022.02.15 11:44,5 -6개월,dril****,409,1,4
2022.02.15 10:52,만원 잃고갑니다,didg****,304,0,4
2022.02.15 10:34,내꺼 사줘서 고맙다 돈잘쓸께,gsh2****,264,0,4
2022.02.15 10:29,ㅋㅋㅋㅋㅋㅋ오늘 외인들 매물 또 고가에 ...,meta****,253,0,2
2022.02.15 10:20,가즈아,rkdg****,269,2,2
2022.02.15 10:19,ㅋ,dizn****,203,0,2
2022.02.15 10:13,무림은 북미고 한솔이 유럽인데,thie****,339,0,2
2022.02.15 07:45,아침 리포트 보고 가죠,ns28****,473,0,4
2022.02.14 18:28,"유럽발 종이 대란
				[2]",nall****,655,1,4
2022.02.12 19:39,"한솔제지 12250원,무림페이퍼2425원...
				[2]",kkkk****,756,1,2
2022.02.11 17:14,"토론방에 매수 선동글이 자꾸올라오네 ㅋㅋ
				[1]",meta****,514,6,2
2022.02.11 12:25,"한솔제지의 문제가 궁금합니다.!!!
				[3]",alsr****,687,1,9
2022.02.11 09:08,경제Tv에서 소개해줬네 근데 사모으기가 ...,dizn****,431,2,3
2022.02.10 13:59,美스벅 매장 컵이 동났다…다음 공급망 충...,nall****,386,5,3
2022.02.08 10:19,"아무리 실적 안 좋아도
				[1]",mapl****,563,2,1
2022.02.07 23:38,"자산재평가 차익 날아갔군.
				[2]",lmpr****,653,2,3
2022.02.07 21:00,"실적반영 끝?
				[3]",heal****,400,2,8
2022.02.07 16:04,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 잘못 본줄 알았네
				[4]",meta****,583,3,3
2022.02.07 15:48,"주가 만원 안깨진게 기적이네ㅋㅋㅋㅋㅋㅋ
				[1]",rare****,361,5,2
2022.02.07 15:44,"실적 발표
				[1]",ps13****,570,4,1
2022.02.04 10:24,"코로나 선거 최대 수혜주
				[2]",nall****,706,7,5
2022.02.03 15:49,우쭈쭈,w079****,254,3,2
2022.02.03 13:47,"한솔제지와 비교시 무림페이퍼는 7배상승한...
				[2]",kkkk****,529,1,5
2022.01.28 21:41,"투자자를  외면한 회사는  망합니다
				[1]",wnrl****,843,6,3
2022.01.28 18:52,"저도 11650원에 간만에 들어왔네요
				[4]",mapl****,765,5,4
2022.01.28 15:34,"2년만에  다시 들어왔습니다.
				[2]",huan****,510,2,3
2022.01.28 15:31,주워도,cafe****,235,4,1
2022.01.28 13:22,뭐하는데 여기 있어 똥종이나 팔면 잘 팔...,seav****,251,5,1
2022.01.28 12:59,이 불장에 지혼자 떨어지네,rkdg****,233,4,0
2022.01.28 12:39,"자 기관 외인 물량 3개월동안 개미가 다...
				[2]",meta****,484,4,2
2022.01.28 09:37,"일단 관심주려고 1주 샀는데 얘가망없음?
				[1]",dizn****,372,1,2
2022.01.28 07:24,"종이,제지,포장지산업은 이제 성장산업이다...
				[1]",kkkk****,465,3,2
2022.01.28 11:50,[삭제된 게시물의 답글]상승장,mapl****,93,1,0
2022.01.27 12:02,"제지 종이 포장지업종은 이제 성장산업이다
				[1]",kkkk****,310,2,4
2022.01.26 12:41,"소가웃을일, 주접 떨지말고
				[1]",bf07****,417,11,1
2022.01.25 10:48,외 이런건가요,aud3****,266,1,2
2022.01.25 10:22,"13000원에 좋다고 주었니?ㅋㅋ
				[2]",meta****,481,5,5
2022.01.25 10:09,내릴줄만알죠? 환장하겠네요,rkdg****,201,1,0
2022.01.24 22:30,"배당주!
				[3]",pkgi****,751,5,4
2022.01.24 14:46,이종목 1만원 깨지면 동전주다.,kohe****,268,3,2
2022.01.24 12:27,UBS 물량 개미가 다 받아주네 ㅋㅋㅋㅋ,meta****,261,3,0
2022.01.24 09:43,"매출 천억짜리 영풍제지와 어깨를 나란히
				[3]",whit****,743,15,0
2022.01.22 12:11,초보자,yowj****,320,5,0
2022.01.21 08:20,이거 때매 떨어지는듯,sjl5****,406,0,3
2022.01.20 12:37,"한솔제지가 이렇게 빠지는 이유 알려주실 ...
				[10]",free****,1836,5,2
2022.01.19 09:32,하한가 하한가~ 신나는 노래~,dlfh****,316,4,4
2022.01.18 13:31,"전저 깨진드아~~~ 다음역은
				[1]",meta****,453,6,3
2022.01.18 11:48,장기적으로 대놓고 하방이네,kohe****,282,4,0
2022.01.17 17:46,"손절
				[2]",haha****,674,11,1
2022.01.17 09:36,반대누르면됩니다,rare****,391,9,0
2022.01.16 05:07,주주들이 이리 부정적입니다.,kohe****,502,5,1
2022.01.14 15:43,"한솔이엠이랑 소규모합병되면 어찌되나요?
				[1]",real****,1147,2,6
2022.01.13 21:30,"도대체 언제오르나요
				[1]",rkdg****,635,1,6
2022.01.13 10:58,주가 기는이유,wnsd****,651,7,1
2022.01.12 08:45,"합병 찬반 문자왔는데
				[3]",yess****,1892,2,5
2022.01.11 19:53,그냥 맘대로 해라~,dlfh****,435,2,5
2022.01.11 18:28,이젠 제지도 친환경이다,jyg2****,342,0,7
2022.01.11 13:14,"[히틀러독일한때최강국임과동시에 계급+통제...
				[1]",dcba****,271,0,5
2022.01.11 09:45,"야가 소문났더라,,",quar****,486,4,0
2022.01.10 15:46,"매수시작...
				[2]",rhat****,855,3,6
2022.01.08 04:31,"통일한국 코스피 15.000point 예...
				[5]",mail****,689,5,11
2022.01.06 09:55,"제지회사 1등 인대 왜 이럼?
				[4]",wete****,1805,4,4
2022.01.05 14:42,"15000갑시당
				[1]",choi****,557,4,3
2022.01.05 10:24,"제지들 다 10프로인데
				[1]",supr****,830,4,2
2022.01.04 08:53,위층에 매물대층 g나게 많다. 최소 6개...,nabn****,476,5,1
2022.01.03 14:45,이거 대박뉴스 아닌가요?,whck****,881,0,4
2022.01.03 13:51,머선,kmk0****,255,0,2
2022.01.03 11:38,머선,kmk0****,249,0,6
2022.01.01 16:04,2022년 3월 9일,scw8****,539,2,3
